Date,Employee Name,Employee ID,Tenure,Compensation (Monthly),Date of Birth,Gender,Education,HR Event,Region,Business Function,Job Family,Job Level,Notes,Distinct ID
2/14/2015,Geraldine Mandy,2DHyxuc9aLw8AcbW8TAPTC,12,6145.97,10/21/1988,Female,MS,UPDATED,US,Sales,Acct Mgmt,Senior,,FALSE
12/26/2016,Ryan Cowan,ACBtKNhD5Gv2aaZiWeHAVU,0,7322.6,12/14/1984,Male,High School,HIRED,US,Operations,Engineering,Senior,,FALSE
7/6/2015,Blaine Mccormick,mECuKind4uKgSaPQm5n7v6,0,5218.58,9/9/1973,Male,BS,HIRED,US,Marketing,Product Management,Entry,,FALSE
7/5/2016,Blaine Mccormick,mECuKind4uKgSaPQm5n7v6,12,5747.62,9/9/1973,Male,BS,UPDATED,US,Marketing,Product Management,Entry,,TRUE
6/17/2016,Priscilla Laird,JJHxyHCeMNULfvf7Nx7A9a,0,4769.93,2/6/1974,Female,BS,HIRED,US,Marketing,Advertising,Senior,,FALSE
3/9/2014,Dennis Lee,wK7ie2VeKLWFTHKc85LHXT,0,6771.81,7/9/1979,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
3/8/2016,Dennis Lee,wK7ie2VeKLWFTHKc85LHXT,24,7070.35,7/9/1979,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
3/9/2015,Dennis Lee,wK7ie2VeKLWFTHKc85LHXT,12,7765.94,7/9/1979,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,FALSE
4/29/2015,Margaret Day,UpSC7yaWWwepioHhjduFDb,0,5523.22,3/31/1979,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
4/28/2016,Margaret Day,UpSC7yaWWwepioHhjduFDb,12,5727.64,3/31/1979,Female,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
3/11/2016,Margaret Day,UpSC7yaWWwepioHhjduFDb,10,5727.64,3/31/1979,Female,BS,UPDATED,US,Sales,Acct Mgmt,VP & above,,FALSE
10/27/2015,Donita Cobb,gMtJePfpL4DdbgD7n8GCkM,0,6415.61,7/3/1975,Female,PhD,HIRED,US,Operations,Engineering,Senior,,FALSE
11/28/2015,Brandon Williams,ET75BJ8Q9ihDMkQiUeqbNi,0,9585.34,1/8/1974,Male,High School,HIRED,US,Development,R&D,Senior,,FALSE
11/11/2015,Lucille Kirk,Y6eVTF5pomxhwbwra9j8Nf,0,5420.46,12/22/1976,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
11/10/2016,Lucille Kirk,Y6eVTF5pomxhwbwra9j8Nf,12,5910.83,12/22/1976,Female,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
2/14/2015,Justin Jones,LM2XYt7HtDwo4x2tKdUYtM,0,9244.84,12/2/1977,Male,PhD,HIRED,US,Development,R&D,Senior,,FALSE
10/13/2015,Nichole Davis,TwJpKzyd9ww2bCQuLXjtsA,0,4467.57,11/13/1984,Female,MS,HIRED,US,Marketing,Product Management,Entry,,FALSE
10/12/2016,Nichole Davis,TwJpKzyd9ww2bCQuLXjtsA,12,4726.56,11/13/1984,Female,MS,UPDATED,US,Marketing,Product Management,Entry,,TRUE
5/16/2014,Joshua Conners,3tuCypURxTywSJFX8CTYVX,0,6282.4,7/14/1975,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
5/15/2016,Joshua Conners,3tuCypURxTywSJFX8CTYVX,24,6696.02,7/14/1975,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
5/16/2015,Joshua Conners,3tuCypURxTywSJFX8CTYVX,12,6973.64,7/14/1975,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,FALSE
8/22/2014,Jenny Hurst,FTq6AnPdjfmm4rLJebidRU,0,5705.11,4/30/1970,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
8/21/2016,Jenny Hurst,FTq6AnPdjfmm4rLJebidRU,24,6038.64,4/30/1970,Female,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
4/18/2016,Daniel Long,bZhiMYW9iJz7wVmsNUBPxh,0,6368.69,1/10/1971,Male,MS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
9/14/2012,Kelly Cook,AEo6otqsJHphjLceCEPKfN,0,5817.08,5/18/1973,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
12/1/2015,Kelly Cook,AEo6otqsJHphjLceCEPKfN,38,5817.08,5/18/1973,Female,BS,UPDATED,US,Sales,Acct Mgmt,VP & above,,TRUE
9/14/2014,Kelly Cook,AEo6otqsJHphjLceCEPKfN,24,6347.58,5/18/1973,Female,BS,UPDATED,US,Sales,Acct Mgmt,VP & above,,FALSE
3/27/2016,Kelly Cook,AEo6otqsJHphjLceCEPKfN,42,6347.58,5/18/1973,Female,BS,SEPARATED,US,Sales,Acct Mgmt,VP & above,life event,FALSE
1/20/2015,Houston Shaw,wvq9PfYA6uEMPmKKBpA9ag,0,6913.18,10/17/1981,Male,PhD,HIRED,US,Operations,Support,Entry,,FALSE
1/20/2016,Houston Shaw,wvq9PfYA6uEMPmKKBpA9ag,12,7422.02,10/17/1981,Male,PhD,UPDATED,US,Operations,Support,Entry,,TRUE
5/14/2016,James Porter,dJwb37h3TA3AJPY8WJxpBT,0,6644.31,3/24/1975,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
12/22/2016,Kathy Moore,QDWTrZWjTsYBhUtnjwyS9G,0,4456.31,6/17/1975,Female,BS,HIRED,US,Marketing,Product Management,Entry,,FALSE
11/26/2016,Melanie Maldonado,rAtyAxr2WgATmDg37PTH8d,0,5841.82,5/27/1971,Female,Associate,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
6/11/2016,Sharon Falk,vmxdVpmF8tiXDpnR8QRimj,0,5197.85,10/18/1982,Female,BS,HIRED,US,Marketing,Advertising,Manager,,FALSE
4/21/2014,Sara Honeycutt,3ThLT2s56d5prLEe7rqXii,0,5335.39,1/25/1968,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
4/21/2015,Sara Honeycutt,3ThLT2s56d5prLEe7rqXii,12,5756.84,1/25/1968,Female,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
4/6/2014,Eleanor Howard,7poDQ7pt2MuwnBNCCZqJg7,0,5681.2,2/21/1976,Female,BS,HIRED,US,Operations,Support,Entry,,FALSE
4/5/2016,Eleanor Howard,7poDQ7pt2MuwnBNCCZqJg7,24,6121.94,2/21/1976,Female,BS,UPDATED,US,Operations,Support,Entry,,TRUE
4/6/2015,Eleanor Howard,7poDQ7pt2MuwnBNCCZqJg7,12,6447.34,2/21/1976,Female,BS,UPDATED,US,Operations,Support,Entry,,FALSE
3/3/2016,Darren Elmore,nnabQjXGGiiRTf9oeQoAvP,0,10692.84,1/31/1980,Male,PhD,HIRED,US,Development,R&D,Manager,,FALSE
5/25/2013,Tammie Mcdonald,huexc6AWsH9TTp2YULJBe6,0,9625.36,9/17/1976,Female,BS,HIRED,US,Development,R&D,VP & above,,FALSE
5/24/2016,Tammie Mcdonald,huexc6AWsH9TTp2YULJBe6,36,10518.01,9/17/1976,Female,BS,UPDATED,US,Development,R&D,VP & above,,TRUE
5/25/2015,Tammie Mcdonald,huexc6AWsH9TTp2YULJBe6,24,11391.96,9/17/1976,Female,BS,UPDATED,US,Development,R&D,VP & above,,FALSE
11/21/2016,Tammie Mcdonald,huexc6AWsH9TTp2YULJBe6,41,11391.96,9/17/1976,Female,BS,SEPARATED,US,Development,R&D,VP & above,career change,FALSE
1/25/2016,Joanne Mitchell,wANUPzcZqjb3B42s6j8dpM,0,6424.41,3/15/1977,Female,BS,HIRED,US,Sales,Acct Mgmt,Manager,,FALSE
6/29/2015,Joseph Thompson,LxKLqJad9PgRKaxHADa5S2,0,8582.66,4/6/1975,Male,MS,HIRED,US,Development,Quality,Entry,,FALSE
6/28/2016,Joseph Thompson,LxKLqJad9PgRKaxHADa5S2,12,9251.79,4/6/1975,Male,MS,UPDATED,US,Development,Quality,Entry,,TRUE
8/2/2014,Vicki Stradley,5ugnpFYjMqCCoQnoEuSH74,0,7159.27,4/25/1970,Female,BS,HIRED,US,Development,R&D,Entry,,FALSE
8/1/2016,Vicki Stradley,5ugnpFYjMqCCoQnoEuSH74,24,7681.64,4/25/1970,Female,BS,UPDATED,US,Development,R&D,Entry,,TRUE
8/2/2015,Vicki Stradley,5ugnpFYjMqCCoQnoEuSH74,12,7970.2,4/25/1970,Female,BS,UPDATED,US,Development,R&D,Entry,,FALSE
7/22/2016,Amanda Kearns,fsXxoZGn5nZ5gqrDmDCwFB,0,8067.67,7/21/1975,Female,MS,HIRED,US,Development,R&D,Senior,,FALSE
4/15/2015,Santiago Feagin,SBLhECshossJMy3As5eYaF,0,8338.84,12/11/1975,Male,BS,HIRED,US,Development,Quality,Entry,,FALSE
7/2/2015,Norman Lovig,bpzP2AaxobKotgYVfAsqYF,0,13687.61,7/3/1975,Male,BS,HIRED,US,Corporate,Legal,VP & above,,FALSE
7/1/2016,Norman Lovig,bpzP2AaxobKotgYVfAsqYF,12,14817.53,7/3/1975,Male,BS,UPDATED,US,Corporate,Legal,VP & above,,TRUE
5/13/2015,Justin Graham,g9cKhfooFx9ychmchWGu7h,0,5153.44,6/1/1983,Male,MS,HIRED,US,Marketing,Doc & Training,Entry,,FALSE
5/12/2016,Justin Graham,g9cKhfooFx9ychmchWGu7h,12,5563.2,6/1/1983,Male,MS,UPDATED,US,Marketing,Doc & Training,Entry,,TRUE
11/15/2015,Catherine Depalma,4o9hKKqjodsnuHZyPqEUzB,0,5721.74,1/7/1983,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
11/14/2016,Catherine Depalma,4o9hKKqjodsnuHZyPqEUzB,11,6058.15,1/7/1983,Female,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
1/23/2016,Karen King,gnLizZ9Koa98mTP8SpBrKK,0,9042.63,5/4/1968,Female,MS,HIRED,US,Development,R&D,Manager,,FALSE
9/8/2016,Joe Roundtree,BfFSsh9m7TqCCRYJEjAX6a,0,8505.54,9/6/1963,Male,BS,HIRED,US,Development,R&D,Entry,,FALSE
6/17/2012,Brianna Felton,nQCE5R7Curt6WcoNS9RrjQ,0,6983.76,11/23/1979,Female,MS,HIRED,US,Development,Quality,Entry,,FALSE
6/16/2016,Brianna Felton,nQCE5R7Curt6WcoNS9RrjQ,48,7416.33,11/23/1979,Female,MS,UPDATED,US,Development,Quality,Entry,,TRUE
6/17/2015,Brianna Felton,nQCE5R7Curt6WcoNS9RrjQ,36,7812.38,11/23/1979,Female,MS,UPDATED,US,Development,Quality,Entry,,FALSE
4/24/2015,Brianna Felton,nQCE5R7Curt6WcoNS9RrjQ,34,7812.38,11/23/1979,Female,MS,UPDATED,US,Development,Quality,Senior,,FALSE
6/17/2014,Brianna Felton,nQCE5R7Curt6WcoNS9RrjQ,23,8253.47,11/23/1979,Female,MS,UPDATED,US,Development,Quality,Senior,,FALSE
11/27/2015,Ralph Fatula,RSHccWEm4DJvBCghCaGyaS,0,6749.82,3/10/1970,Male,BS,HIRED,US,Operations,Support,Entry,,FALSE
11/26/2016,Ralph Fatula,RSHccWEm4DJvBCghCaGyaS,12,7112.01,3/10/1970,Male,BS,UPDATED,US,Operations,Support,Entry,,TRUE
11/1/2016,Victoria Gordon,VXsgYBa8hVpNs54AzQLgYk,0,6414.22,11/12/1976,Female,PhD,HIRED,US,Sales,Acct Mgmt,Manager,,FALSE
12/27/2015,Eric Gazaway,KeiibLkkPYNDNcPsCSxrKk,0,6531.88,12/15/1974,Male,PhD,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
6/20/2016,Thomas Arndt,i8uS88BJchfZexfcbXEmQC,0,7709.13,3/7/1974,Male,BS,HIRED,US,Operations,Support,Senior,,FALSE
11/16/2015,Cleveland Hutt,S26iBEudB4ki3DdRrzcMc8,0,6256.27,10/12/1974,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
11/15/2016,Cleveland Hutt,S26iBEudB4ki3DdRrzcMc8,12,6654.6,10/12/1974,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
9/24/2014,Daryl Barnett,AYChvvm923RRsronsd7NzF,0,8438.82,10/17/1968,Male,MS,HIRED,US,Development,R&D,Entry,,FALSE
9/24/2015,Daryl Barnett,AYChvvm923RRsronsd7NzF,12,9010.39,10/17/1968,Male,MS,UPDATED,US,Development,R&D,Entry,,TRUE
7/26/2016,Daryl Barnett,AYChvvm923RRsronsd7NzF,22,9010.39,10/17/1968,Male,MS,SEPARATED,US,Development,R&D,Entry,alternative opportunity,FALSE
1/14/2016,Mary Daly,9ovn6zjFxkqQMfqFhLGWm8,0,5469.56,2/18/1976,Female,High School,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
9/25/2014,Johnnie Walters,xbbZmtpMaJgQGGiwcowoig,0,7136.56,3/11/1968,Female,BS,HIRED,US,Development,R&D,Entry,,FALSE
9/24/2016,Johnnie Walters,xbbZmtpMaJgQGGiwcowoig,23,7668.99,3/11/1968,Female,BS,UPDATED,US,Development,R&D,Entry,,TRUE
9/25/2015,Johnnie Walters,xbbZmtpMaJgQGGiwcowoig,12,8354.68,3/11/1968,Female,BS,UPDATED,US,Development,R&D,Entry,,FALSE
11/14/2015,Ana Whitemore,nJy2Tv7JeNfdbUif5YeRo6,0,9047.64,7/22/1973,Female,High School,HIRED,US,Development,R&D,Manager,,FALSE
11/13/2016,Ana Whitemore,nJy2Tv7JeNfdbUif5YeRo6,12,9630.42,7/22/1973,Female,High School,UPDATED,US,Development,R&D,Manager,,TRUE
11/2/2016,Tim Shaw,He9UoEJSaCf9uWXegY2ckJ,0,5763.15,1/24/1974,Male,PhD,HIRED,US,Marketing,Product Management,Senior,,FALSE
1/1/2014,Christopher Rose,gHkdMfKGoPMGs273RmY9si,0,6410.94,9/17/1977,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
1/1/2016,Christopher Rose,gHkdMfKGoPMGs273RmY9si,24,6872.15,9/17/1977,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
1/1/2015,Christopher Rose,gHkdMfKGoPMGs273RmY9si,12,7341.35,9/17/1977,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,FALSE
9/5/2015,Samantha Brown,P5URtAyFza9572HdvCRQPX,0,4388.69,6/7/1981,Female,PhD,HIRED,US,Marketing,Product Management,Entry,,FALSE
9/4/2016,Samantha Brown,P5URtAyFza9572HdvCRQPX,12,4604.38,6/7/1981,Female,PhD,UPDATED,US,Marketing,Product Management,Entry,,TRUE
11/28/2015,Jessica Blevins,GSST7L5fpFfiLninw6sLE2,0,4742.85,1/3/1975,Female,BS,HIRED,US,Marketing,Product Management,Senior,,FALSE
11/20/2016,William Ruiz,GMo7BMevnfgPtiAiJ5RKnV,0,7758.97,4/14/1972,Male,BS,HIRED,US,Sales,Acct Mgmt,Manager,,FALSE
9/3/2015,Megan Quintanilla,Vaam4WUACS4d3ie647JLmV,0,7396.89,2/2/1977,Female,PhD,HIRED,US,Operations,Engineering,Manager,,FALSE
9/2/2016,Megan Quintanilla,Vaam4WUACS4d3ie647JLmV,12,7593.06,2/2/1977,Female,PhD,UPDATED,US,Operations,Engineering,Manager,,TRUE
7/8/2016,Megan Quintanilla,Vaam4WUACS4d3ie647JLmV,10,7593.06,2/2/1977,Female,PhD,UPDATED,US,Development,Quality,Entry,,FALSE
6/28/2015,Juana Dominguez,LuVfiXvQZSzph6KySYYs7B,0,7213.89,9/21/1966,Female,BS,HIRED,US,Development,R&D,Entry,,FALSE
2/2/2014,Brenda Alzate,6ykEkPfvmWhKR5o8JgVRjT,0,7120.83,12/4/1982,Female,MS,HIRED,US,Development,R&D,Entry,,FALSE
2/2/2016,Brenda Alzate,6ykEkPfvmWhKR5o8JgVRjT,24,7809.17,12/4/1982,Female,MS,UPDATED,US,Development,R&D,Entry,,TRUE
2/2/2015,Brenda Alzate,6ykEkPfvmWhKR5o8JgVRjT,12,8597.66,12/4/1982,Female,MS,UPDATED,US,Development,R&D,Entry,,FALSE
1/7/2016,Deborah Harne,fb8YUss69UxyvJFgpQfwMe,0,4650.44,11/14/1980,Female,BS,HIRED,US,Marketing,Advertising,Senior,,FALSE
4/20/2014,Chris Williams,dRq8XKedb76N5LhkpjcCmW,0,6698.52,5/16/1974,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
11/16/2016,John Tartaglia,xyokV8hrVrXGSWsMABLrVN,0,5579.75,1/12/1973,Male,PhD,HIRED,US,Marketing,Advertising,Senior,,FALSE
7/21/2015,Nelson Schaffer,5YJcHLWzPUUdaH5iqBzo2L,0,6680.99,8/7/1966,Male,BS,HIRED,US,Operations,Support,Entry,,FALSE
7/20/2016,Nelson Schaffer,5YJcHLWzPUUdaH5iqBzo2L,12,6818.36,8/7/1966,Male,BS,UPDATED,US,Operations,Support,Entry,,TRUE
4/2/2013,Benjamin Turner,KUFeGMZzvvRHL5QXWLC4e8,0,7510.74,3/13/1981,Male,MS,HIRED,US,Operations,Engineering,Senior,,FALSE
10/20/2016,Benjamin Turner,KUFeGMZzvvRHL5QXWLC4e8,42,7510.74,3/13/1981,Male,MS,UPDATED,US,Operations,Engineering,Manager,,TRUE
4/2/2014,Benjamin Turner,KUFeGMZzvvRHL5QXWLC4e8,12,8088.13,3/13/1981,Male,MS,UPDATED,US,Operations,Engineering,Manager,,FALSE
4/22/2015,Karen Boren,ibT3GWngrV34Nd5qp2A2SR,0,5390.46,1/7/1974,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
4/21/2016,Karen Boren,ibT3GWngrV34Nd5qp2A2SR,12,5565.11,1/7/1974,Female,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
12/29/2016,Rodney Henry,Ye99oXZ8Y53WeZmGnCEq4Y,0,9100.15,9/18/1965,Male,BS,HIRED,US,Development,R&D,Senior,,FALSE
1/26/2014,Meredith Ervin,WK3yG5TvVvgNyL4pphHn3P,0,5764.99,6/5/1967,Female,Associate,HIRED,US,Operations,Support,Entry,,FALSE
1/26/2016,Meredith Ervin,WK3yG5TvVvgNyL4pphHn3P,24,6508.64,6/5/1967,Female,Associate,UPDATED,US,Operations,Support,Entry,,TRUE
5/13/2015,Meredith Ervin,WK3yG5TvVvgNyL4pphHn3P,15,6508.64,6/5/1967,Female,Associate,UPDATED,US,Operations,Engineering,Senior,,FALSE
1/26/2015,Meredith Ervin,WK3yG5TvVvgNyL4pphHn3P,12,6779.92,6/5/1967,Female,Associate,UPDATED,US,Operations,Engineering,Senior,,FALSE
4/19/2016,Zachary Arcos,kCVHkT9EGaitBtWe3neEUH,0,6482.13,9/28/1969,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
4/4/2016,James Brown,FziUR8cTWvJJUVmJCW2Ch7,0,7472.36,6/25/1973,Male,BS,HIRED,US,Sales,Acct Mgmt,Manager,,FALSE
8/29/2016,Elsie Demarest,TFXXXme2DtprZYdfiLd9Wk,0,6483.35,4/16/1979,Female,BS,HIRED,US,Operations,Support,Senior,,FALSE
12/20/2016,Cody Evans,6wVRfvo9oeZhSqsot9jWoi,0,8624.89,6/18/1982,Male,BS,HIRED,US,Development,R&D,Entry,,FALSE
9/17/2013,David Conley,pbyiLLzkqimui8eJtv7rQV,0,6651.89,11/22/1969,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
9/16/2016,David Conley,pbyiLLzkqimui8eJtv7rQV,36,7005.94,11/22/1969,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
9/17/2014,David Conley,pbyiLLzkqimui8eJtv7rQV,12,7528.54,11/22/1969,Male,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,FALSE
12/7/2016,Sonya Lloyd,36DkdXcVibQhMMYG44E72a,0,5566.74,2/15/1973,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
9/6/2016,Donald Joyce,d9UDf7uk2rALcfJKgjajTg,0,9434.44,7/20/1978,Male,BS,HIRED,US,Development,R&D,Senior,,FALSE
9/17/2016,Donald Joyce,d9UDf7uk2rALcfJKgjajTg,0,9434.44,7/20/1978,Male,BS,UPDATED,US,Development,Quality,Senior,,TRUE
5/24/2016,Jon Pittman,eYK9yiCzTZGHqJchUbJgFV,0,5158.89,10/21/1979,Male,PhD,HIRED,US,Marketing,Product Management,Entry,,FALSE
2/28/2016,Elizabeth Pergola,PXpvArkvFv6NqEU8ZJrEPi,0,8735.7,5/19/1980,Female,BS,HIRED,US,Development,R&D,Manager,,FALSE
1/21/2015,Michael Johnson,kQxKbxLjiGkR5dZxGFAZaa,0,8315.66,4/25/1972,Male,PhD,HIRED,US,Development,R&D,Entry,,FALSE
1/21/2016,Michael Johnson,kQxKbxLjiGkR5dZxGFAZaa,12,8868.91,4/25/1972,Male,PhD,UPDATED,US,Development,R&D,Entry,,TRUE
12/1/2015,Laura Mcclain,8aYhkkaoYqdPjUpWfytdUT,0,4733.58,7/17/1971,Female,Associate,HIRED,US,Marketing,Advertising,Senior,,FALSE
11/30/2016,Laura Mcclain,8aYhkkaoYqdPjUpWfytdUT,12,5045.39,7/17/1971,Female,Associate,UPDATED,US,Marketing,Advertising,Senior,,TRUE
9/28/2015,Herbert Bowen,biqTqfjiyVaacMjWwMBFpQ,0,8566.62,9/23/1984,Male,BS,HIRED,US,Development,Quality,Entry,,FALSE
9/27/2016,Herbert Bowen,biqTqfjiyVaacMjWwMBFpQ,12,8845.84,9/23/1984,Male,BS,UPDATED,US,Development,Quality,Entry,,TRUE
2/7/2015,David Peterman,t7WcpxyNhxJm7s9hDJXQeH,0,10634.84,7/11/1975,Male,High School,HIRED,US,Development,R&D,Manager,,FALSE
2/7/2016,David Peterman,t7WcpxyNhxJm7s9hDJXQeH,12,11688.8,7/11/1975,Male,High School,UPDATED,US,Development,R&D,Manager,,TRUE
5/29/2015,Melanie Jakeman,Duaa4fZymdXnqUTQSfz5Mh,0,7087.32,3/3/1976,Female,Associate,HIRED,US,Development,R&D,Entry,,FALSE
5/28/2016,Melanie Jakeman,Duaa4fZymdXnqUTQSfz5Mh,12,7402.4,3/3/1976,Female,Associate,UPDATED,US,Development,R&D,Entry,,TRUE
4/14/2015,Bruce Lemke,cbGWUZhotmmKL3VaxgwNoL,0,6315.57,9/18/1978,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
2/6/2016,Richard Morelock,FHBMufStfPjAKoCAxTAyp3,0,6749.17,5/31/1981,Male,BS,HIRED,US,Operations,Engineering,Entry,,FALSE
9/24/2016,John Gomez,GKT9mZFdAp5PDnmz4A7MGP,0,8292.77,9/23/1979,Male,BS,HIRED,US,Development,R&D,Entry,,FALSE
8/26/2016,Donna Cowgill,sVafFpXyC6etmDXrQs3i4T,0,6164.51,12/12/1971,Female,BS,HIRED,US,Operations,Engineering,Senior,,FALSE
8/2/2014,Betty Ken,yrrguwHXDnDahfyvweVGGB,0,4664.07,3/31/1973,Female,BS,HIRED,US,Marketing,Advertising,Senior,,FALSE
3/26/2016,Betty Ken,yrrguwHXDnDahfyvweVGGB,19,4664.07,3/31/1973,Female,BS,UPDATED,US,Marketing,Advertising,Manager,,TRUE
8/2/2015,Betty Ken,yrrguwHXDnDahfyvweVGGB,12,5009.14,3/31/1973,Female,BS,UPDATED,US,Marketing,Advertising,Manager,,FALSE
7/19/2016,Russell Willis,WfHSKqgtx8QACcetLAu72E,0,9484.63,5/10/1973,Male,BS,HIRED,US,Development,Quality,Senior,,FALSE
5/21/2014,Douglas Tapley,6s66trYaGREhHX3MSmiESc,0,5246.51,3/13/1980,Male,PhD,HIRED,US,Marketing,Product Management,Entry,,FALSE
5/20/2016,Douglas Tapley,6s66trYaGREhHX3MSmiESc,24,5569.36,3/13/1980,Male,PhD,UPDATED,US,Marketing,Product Management,Entry,,TRUE
5/21/2015,Douglas Tapley,6s66trYaGREhHX3MSmiESc,12,5833.27,3/13/1980,Male,PhD,UPDATED,US,Marketing,Product Management,Entry,,FALSE
10/31/2015,Cindy Price,7TULn4JeUUNdPQ84Ne6iq4,0,6983.45,3/14/1968,Female,PhD,HIRED,US,Operations,Engineering,Manager,,FALSE
10/30/2016,Cindy Price,7TULn4JeUUNdPQ84Ne6iq4,11,7379.05,3/14/1968,Female,PhD,UPDATED,US,Operations,Engineering,Manager,,TRUE
4/3/2015,Doris John,97WmgobHD3KeTeHLqQmMeH,0,5483.95,2/7/1980,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
4/2/2016,Doris John,97WmgobHD3KeTeHLqQmMeH,12,5903.17,2/7/1980,Female,BS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
8/16/2016,Ina Alsip,rZU5hHHCWacHrG3QwqfQ3H,0,7246.82,5/14/1980,Female,MS,HIRED,US,Development,Quality,Entry,,FALSE
9/19/2016,Leta Wright,D55w3HkVUumWHqKqBsKfA6,0,10577.54,8/23/1977,Female,BS,HIRED,US,Corporate,Human Resources,Manager,,FALSE
8/11/2016,Lorita Rodriguez,nhrC3TYS9r5dWKUXm4G8r8,0,9096.77,3/22/1973,Female,BS,HIRED,US,Development,R&D,Manager,,FALSE
